ID;Edad;Tipo_Trabajo;Estado_Civil;Educacion;mora;Vivienda;Consumo;Contacto;Mes;Dia;Campana;Dias_Ultima_Camp;No_Contactos;Resultado_Anterior;emp_var_rate;cons_price_idx;cons_conf_idx;euribor3m;nr_employed;prediccion
119;51;empleado;casado;unknown;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
121;59;servicios;casado;bachillerato;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
126;37;emprendedor;casado;primaria;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
127;38;servicios;casado;bachillerato;no;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
128;56;administrador negocio;divorced;unknown;unknown;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
131;36;servicios;casado;bachillerato;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
132;45;tecnico;casado;pregrado;no;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
134;46;Vive de los arriendos;casado;bachillerato incompleto;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
136;51;administrador negocio;single;primaria;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
137;28;servicios;casado;bachillerato;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
143;57;Vive de los arriendos;casado;pregrado;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
149;45;Vive de los arriendos;divorced;pregrado;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
152;37;administrador negocio;casado;bachillerato;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
153;40;administrador negocio;casado;bachillerato incompleto;unknown;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
159;35;estudiante;single;pregrado;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
162;36;estudiante;single;bachillerato incompleto;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
163;55;ama de casa;divorced;pregrado;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
164;57;pensionado;casado;unknown;unknown;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
169;40;servicios;casado;bachillerato;no;no;no;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
171;36;servicios;single;primaria;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
172;46;tecnico;casado;preescolar;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
174;58;pensionado;casado;pregrado;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
175;43;pensionado;casado;preescolar;unknown;no;no;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
176;45;empleado;casado;preescolar;no;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
179;32;Vive de los arriendos;divorciado;preescolar;unknown;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
183;56;empleado;casado;preescolar;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
185;43;Vive de los arriendos;casado;pregrado;unknown;no;si;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
188;30;tecnico;casado;pregrado;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
189;33;servicios;divorced;unknown;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
190;32;tecnico;single;Estudiante Universitario;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
191;36;tecnico;single;bachillerato;no;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
193;33;servicios;single;bachillerato;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
196;51;servicios;casado;primaria;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
200;45;Vive de los arriendos;casado;bachillerato incompleto;no;no;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
202;33;administrador negocio;casado;bachillerato;no;no;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
206;42;administrador negocio;casado;pregrado;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
208;34;vendedor ambulante;single;pregrado;no;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
211;40;vendedor ambulante;casado;preescolar;unknown;no;no;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
217;34;servicios;casado;bachillerato;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
218;47;empleado;casado;primaria;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
220;36;empleado;casado;bachillerato incompleto;no;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
223;39;ama de casa;casado;bachillerato incompleto;no;si;no;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
224;37;administrador negocio;single;bachillerato;no;si;si;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
233;36;administrador negocio;casado;pregrado;no;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
236;59;pensionado;casado;Estudiante Universitario;unknown;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
244;27;administrador negocio;single;pregrado;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
245;58;empleado;casado;Estudiante Universitario;unknown;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
246;40;Vive de los arriendos;casado;pregrado;unknown;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
263;49;emprendedor;casado;bachillerato;no;si;no;telefono fijo;may;mon;4;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
264;42;tecnico;single;Estudiante Universitario;unknown;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
267;32;servicios;single;bachillerato;no;si;no;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
268;57;unknown;casado;unknown;unknown;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
270;52;tecnico;casado;bachillerato;no;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
271;50;servicios;divorced;Estudiante Universitario;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
273;33;emprendedor;casado;pregrado;no;si;no;telefono fijo;may;mon;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
275;55;tecnico;casado;Estudiante Universitario;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
276;38;Vive de los arriendos;casado;pregrado;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
278;43;desempleado;single;pregrado;no;no;no;telefono fijo;may;mon;4;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
282;57;Vive de los arriendos;casado;pregrado;no;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
284;42;empleado;casado;preescolar;unknown;si;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
288;37;empleado;casado;bachillerato incompleto;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
293;49;empleado;casado;unknown;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
296;30;empleado;single;unknown;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
297;33;administrador negocio;casado;bachillerato incompleto;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
298;34;Vive de los arriendos;single;pregrado;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
299;30;estudiante;single;unknown;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
300;59;Vive de los arriendos;casado;preescolar;unknown;unknown;unknown;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
312;52;servicios;single;bachillerato;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
313;48;servicios;casado;bachillerato;unknown;unknown;unknown;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
314;31;empleado;casado;bachillerato;unknown;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
317;42;emprendedor;casado;pregrado;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
319;39;administrador negocio;casado;bachillerato;no;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
326;45;emprendedor;casado;preescolar;unknown;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
335;58;Vive de los arriendos;casado;primaria;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
338;31;servicios;casado;bachillerato;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
346;47;administrador negocio;divorced;pregrado;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
351;45;Vive de los arriendos;casado;pregrado;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
352;34;administrador negocio;casado;bachillerato incompleto;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
353;57;tecnico;casado;preescolar;unknown;no;si;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
356;57;tecnico;casado;preescolar;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
359;48;administrador negocio;casado;pregrado;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
361;40;administrador negocio;casado;bachillerato;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
362;51;Vive de los arriendos;casado;Estudiante Universitario;unknown;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
366;42;tecnico;divorced;bachillerato;no;no;no;telefono fijo;may;tue;4;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
368;31;empleado;single;bachillerato incompleto;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
370;44;administrador negocio;casado;bachillerato;no;si;si;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
371;39;Vive de los arriendos;casado;primaria;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
375;42;tecnico;single;Estudiante Universitario;unknown;unknown;unknown;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
379;59;unknown;casado;unknown;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
391;41;desempleado;casado;bachillerato incompleto;unknown;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
394;31;servicios;casado;bachillerato;unknown;unknown;unknown;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
397;51;administrador negocio;casado;primaria;unknown;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
401;39;servicios;casado;bachillerato;unknown;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
404;43;emprendedor;casado;bachillerato;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
408;42;ama de casa;soltero;preescolar;unknown;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
413;38;empleado;casado;bachillerato incompleto;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
423;41;tecnico;casado;bachillerato;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
425;35;administrador negocio;single;bachillerato;no;si;si;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
426;33;empleado;soltero;preescolar;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
429;57;tecnico;casado;Estudiante Universitario;unknown;no;si;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
430;30;vendedor ambulante;single;bachillerato;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
436;39;empleado;casado;bachillerato incompleto;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
438;57;pensionado;casado;pregrado;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
439;45;empleado;casado;preescolar;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
440;42;empleado;casado;bachillerato;no;no;si;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
451;36;tecnico;casado;Estudiante Universitario;no;unknown;unknown;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
452;56;pensionado;casado;preescolar;unknown;si;si;telefono fijo;may;tue;4;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
454;41;administrador negocio;divorced;bachillerato;no;no;no;telefono fijo;may;tue;4;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
455;32;servicios;casado;bachillerato;unknown;no;si;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
462;54;empleado;casado;primaria;unknown;no;no;telefono fijo;may;tue;5;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
463;32;tecnico;casado;Estudiante Universitario;no;no;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
466;34;servicios;single;bachillerato;no;unknown;unknown;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
472;32;administrador negocio;single;pregrado;no;si;si;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
479;46;empleado;casado;primaria;no;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
480;41;administrador negocio;casado;bachillerato;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
482;38;administrador negocio;casado;pregrado;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
483;41;tecnico;casado;primaria;no;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
490;38;servicios;casado;bachillerato;unknown;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
491;46;empleado;casado;bachillerato incompleto;no;si;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
493;58;administrador negocio;casado;unknown;unknown;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
494;40;tecnico;casado;Estudiante Universitario;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
496;55;Vive de los arriendos;soltero;preescolar;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
502;29;administrador negocio;casado;bachillerato;no;si;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
505;36;tecnico;single;Estudiante Universitario;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
507;33;ama de casa;divorced;pregrado;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
511;32;ama de casa;casado;bachillerato;no;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
512;51;empleado;divorced;unknown;unknown;si;si;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
514;33;servicios;casado;preescolar;no;no;no;telefono fijo;may;tue;4;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
516;33;vendedor ambulante;single;pregrado;no;no;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
519;43;servicios;casado;bachillerato;no;no;si;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
520;46;empleado;casado;primaria;unknown;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
521;27;tecnico;casado;bachillerato incompleto;no;no;si;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
522;47;administrador negocio;divorced;pregrado;no;si;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
526;56;Vive de los arriendos;casado;pregrado;unknown;no;no;telefono fijo;may;tue;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
528;46;administrador negocio;casado;bachillerato;no;no;si;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
532;56;Vive de los arriendos;casado;pregrado;no;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
542;46;Vive de los arriendos;casado;pregrado;no;si;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
546;49;ama de casa;casado;preescolar;no;no;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
547;40;emprendedor;casado;bachillerato incompleto;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
550;52;vendedor ambulante;casado;pregrado;no;no;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
551;26;desempleado;single;bachillerato incompleto;no;si;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
556;57;Vive de los arriendos;casado;pregrado;unknown;no;no;telefono fijo;may;tue;3;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
557;35;estudiante;single;pregrado;unknown;no;no;telefono fijo;may;tue;5;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
560;40;tecnico;casado;bachillerato incompleto;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
565;56;empleado;casado;preescolar;no;no;no;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
570;47;administrador negocio;single;unknown;unknown;si;si;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
572;31;administrador negocio;single;bachillerato;no;si;si;telefono fijo;may;tue;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
